
 100000000.000000, 0, 0.000000, 0.000000, -nan
 100000000.000000, 0, 0.000000, 0.000000, -nan 

 100000000.000000, 0, 0.000000, 1.000000, 0.000000 

 100000000.000000, 4, 0.000000, 1.000000, 0.000000 

 100000000.000000, 4, 0.050000, 1.000000, 0.050000 
100000000.000000, 4, 0.100000, 1.000000, 0.100000
100000000.000000, 4, 0.100000, 1.000000, 0.100000
100000000.000000, 4, 0.100000, 1.000000, 0.100000
100000000.000000, 4, 0.050000, 1.000000, 0.050000
100000000.000000, 4, 0.100000, 1.000000, 0.100000
